sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,is_recid,is_violent_recid,type_of_assessment,decile_score,score_text,v_type_of_assessment,v_decile_score,v_score_text,priors_count,event
Female,47,Caucasian,0,1,0,0,1,1,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,1,0
Male,31,African-American,0,3,0,0,7,1,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,7,0
Male,31,African-American,0,3,0,0,7,1,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,7,0
Male,37,Hispanic,0,1,0,0,0,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,0
Male,25,African-American,0,10,0,0,3,0,0,Risk of Recidivism,10,High,Risk of Violence,9,High,3,0
Male,25,African-American,0,10,0,0,3,0,0,Risk of Recidivism,10,High,Risk of Violence,9,High,3,0
Male,31,Caucasian,0,5,0,0,6,1,1,Risk of Recidivism,5,Medium,Risk of Violence,4,Low,6,1
Male,31,Caucasian,0,3,0,0,5,1,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,5,0
Male,31,Caucasian,0,3,0,0,5,1,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,5,0
Male,31,Caucasian,0,3,0,0,5,1,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,5,0
Male,64,African-American,0,6,0,0,13,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,13,0
Male,64,African-American,0,6,0,0,13,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,13,0
Male,64,African-American,0,6,0,0,13,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,13,0
Male,21,African-American,0,9,0,0,1,1,0,Risk of Recidivism,9,High,Risk of Violence,9,High,1,0
Male,21,African-American,0,9,0,0,1,1,0,Risk of Recidivism,9,High,Risk of Violence,9,High,1,0
Male,21,African-American,0,9,0,0,1,1,0,Risk of Recidivism,9,High,Risk of Violence,9,High,1,0
Male,21,African-American,0,9,0,0,1,1,0,Risk of Recidivism,9,High,Risk of Violence,9,High,1,0
Male,21,African-American,0,9,0,0,1,1,0,Risk of Recidivism,9,High,Risk of Violence,9,High,1,0
Male,21,African-American,0,9,0,0,1,1,0,Risk of Recidivism,9,High,Risk of Violence,9,High,1,0
Male,27,Caucasian,0,2,0,0,0,1,0,Risk of Recidivism,2,Low,Risk of Violence,3,Low,0,0
Female,21,Caucasian,0,4,0,0,0,0,0,Risk of Recidivism,4,Low,Risk of Violence,5,Medium,0,0
Male,24,African-American,0,-1,0,0,2,1,0,Risk of Recidivism,-1,N/A,Risk of Violence,6,Medium,2,0
Male,24,African-American,0,-1,0,0,2,1,0,Risk of Recidivism,-1,N/A,Risk of Violence,6,Medium,2,0
Male,24,African-American,0,-1,0,0,2,1,0,Risk of Recidivism,-1,N/A,Risk of Violence,6,Medium,2,0
Male,24,African-American,0,-1,0,0,2,1,0,Risk of Recidivism,-1,N/A,Risk of Violence,6,Medium,2,0
Male,24,African-American,0,-1,0,0,2,1,0,Risk of Recidivism,-1,N/A,Risk of Violence,6,Medium,2,0
Male,24,Hispanic,0,4,0,0,1,1,0,Risk of Recidivism,4,Low,Risk of Violence,5,Medium,1,0
Male,42,Caucasian,0,3,0,0,1,0,0,Risk of Recidivism,3,Low,Risk of Violence,1,Low,1,0
Male,43,Caucasian,0,1,0,0,1,0,0,Risk of Recidivism,1,Low,Risk of Violence,2,Low,1,0
Male,32,Other,0,3,0,0,0,0,0,Risk of Recidivism,3,Low,Risk of Violence,4,Low,0,0
Female,54,African-American,0,9,0,0,0,0,0,Risk of Recidivism,9,High,Risk of Violence,5,Medium,0,0
Male,44,African-American,0,6,0,0,8,0,0,Risk of Recidivism,6,Medium,Risk of Violence,4,Low,8,0
Female,49,Caucasian,0,1,0,0,0,-1,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,0
Male,27,African-American,0,3,0,0,8,1,1,Risk of Recidivism,3,Low,Risk of Violence,3,Low,8,0
Male,27,African-American,0,3,0,0,8,1,1,Risk of Recidivism,3,Low,Risk of Violence,3,Low,8,0
Male,27,African-American,0,3,0,0,8,1,1,Risk of Recidivism,3,Low,Risk of Violence,3,Low,8,0
Male,27,African-American,0,3,0,0,8,1,1,Risk of Recidivism,3,Low,Risk of Violence,3,Low,8,1
Female,36,Caucasian,0,3,0,0,3,0,0,Risk of Recidivism,3,Low,Risk of Violence,1,Low,3,0
Female,36,Caucasian,0,3,0,0,3,0,0,Risk of Recidivism,3,Low,Risk of Violence,1,Low,3,0
Male,26,African-American,0,7,0,1,5,1,0,Risk of Recidivism,7,Medium,Risk of Violence,7,Medium,5,0
Male,26,African-American,0,7,0,1,5,1,0,Risk of Recidivism,7,Medium,Risk of Violence,7,Medium,5,0
Male,26,African-American,0,7,0,1,5,1,0,Risk of Recidivism,7,Medium,Risk of Violence,7,Medium,5,0
Male,33,African-American,0,10,0,0,0,1,1,Risk of Recidivism,10,High,Risk of Violence,6,Medium,0,0
Male,33,African-American,0,10,0,0,0,1,1,Risk of Recidivism,10,High,Risk of Violence,6,Medium,0,1
Male,30,Caucasian,0,9,0,0,9,1,0,Risk of Recidivism,9,High,Risk of Violence,10,High,9,0
Male,30,Caucasian,0,9,0,0,9,1,0,Risk of Recidivism,9,High,Risk of Violence,10,High,9,0
Male,32,African-American,0,8,0,0,4,1,0,Risk of Recidivism,8,High,Risk of Violence,3,Low,4,0
Male,32,African-American,0,8,0,0,4,1,0,Risk of Recidivism,8,High,Risk of Violence,3,Low,4,0
Male,63,African-American,0,1,0,0,0,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,0
Male,27,Hispanic,0,3,0,0,2,0,0,Risk of Recidivism,3,Low,Risk of Violence,3,Low,2,0
Male,55,Caucasian,0,1,0,0,0,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,0
Male,29,Caucasian,0,8,0,0,0,-1,0,Risk of Recidivism,8,High,Risk of Violence,6,Medium,0,0
Male,32,African-American,0,10,0,0,15,0,0,Risk of Recidivism,10,High,Risk of Violence,8,High,15,0
Male,38,African-American,0,3,0,2,5,0,0,Risk of Recidivism,3,Low,Risk of Violence,4,Low,5,0
Male,38,African-American,0,3,0,2,5,0,0,Risk of Recidivism,3,Low,Risk of Violence,4,Low,5,0
Male,38,African-American,0,3,0,2,5,0,0,Risk of Recidivism,3,Low,Risk of Violence,4,Low,5,0
Male,53,Caucasian,0,5,0,0,19,0,0,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,19,0
Male,53,Caucasian,0,5,0,0,19,0,0,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,19,0
Male,49,Other,0,3,0,0,7,1,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,7,0
Male,49,Other,0,3,0,0,7,1,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,7,0
Male,49,Other,0,3,0,0,7,1,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,7,0
Male,26,Caucasian,0,8,0,2,6,0,0,Risk of Recidivism,8,High,Risk of Violence,8,High,6,0
Male,26,Caucasian,0,8,0,2,6,0,0,Risk of Recidivism,8,High,Risk of Violence,8,High,6,0
Male,26,Caucasian,0,8,0,2,6,0,0,Risk of Recidivism,8,High,Risk of Violence,8,High,6,0
Female,33,Caucasian,0,5,0,0,4,1,0,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,4,0
Female,33,Caucasian,0,5,0,0,4,1,0,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,4,0
Female,33,Caucasian,0,5,0,0,4,1,0,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,4,0
Female,33,Caucasian,0,5,0,0,4,1,0,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,4,0
Male,24,Caucasian,0,2,0,0,1,1,0,Risk of Recidivism,2,Low,Risk of Violence,3,Low,1,0
Male,24,Caucasian,0,2,0,0,1,1,0,Risk of Recidivism,2,Low,Risk of Violence,3,Low,1,0
Male,34,African-American,2,9,1,3,21,1,0,Risk of Recidivism,9,High,Risk of Violence,6,Medium,21,0
Male,34,African-American,2,9,1,3,21,1,0,Risk of Recidivism,9,High,Risk of Violence,6,Medium,21,0
Male,34,African-American,2,9,1,3,21,1,0,Risk of Recidivism,9,High,Risk of Violence,6,Medium,21,0
Male,34,African-American,2,9,1,3,21,1,0,Risk of Recidivism,9,High,Risk of Violence,6,Medium,21,0
Male,29,Caucasian,0,2,0,0,0,0,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,0,0
Female,21,African-American,0,8,0,0,2,0,0,Risk of Recidivism,8,High,Risk of Violence,8,High,2,0
Female,21,African-American,0,8,0,0,2,0,0,Risk of Recidivism,8,High,Risk of Violence,8,High,2,0
Female,21,African-American,0,8,0,0,2,0,0,Risk of Recidivism,8,High,Risk of Violence,8,High,2,0
Female,21,African-American,0,8,0,0,2,0,0,Risk of Recidivism,8,High,Risk of Violence,8,High,2,0
Male,51,African-American,0,1,0,0,2,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,2,0
Male,36,African-American,0,1,0,0,0,-1,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,0
Male,29,Caucasian,0,2,0,0,2,1,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,2,0
Male,29,Caucasian,0,2,0,0,2,1,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,2,0
Male,25,African-American,0,6,0,0,0,0,0,Risk of Recidivism,6,Medium,Risk of Violence,7,Medium,0,0
Male,25,African-American,0,6,0,0,0,0,0,Risk of Recidivism,6,Medium,Risk of Violence,7,Medium,0,0
Female,51,African-American,0,2,0,0,7,0,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,7,0
Female,51,African-American,0,2,0,0,7,0,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,7,0
Male,28,Caucasian,0,7,0,0,8,0,0,Risk of Recidivism,7,Medium,Risk of Violence,4,Low,8,0
Male,36,African-American,0,9,0,0,22,0,0,Risk of Recidivism,9,High,Risk of Violence,10,High,22,0
Male,36,African-American,0,9,0,0,22,0,0,Risk of Recidivism,9,High,Risk of Violence,10,High,22,0
Male,29,African-American,0,7,0,0,0,1,0,Risk of Recidivism,7,Medium,Risk of Violence,2,Low,0,0
Male,29,African-American,0,7,0,0,0,1,0,Risk of Recidivism,7,Medium,Risk of Violence,2,Low,0,0
Male,29,African-American,0,7,0,0,0,1,0,Risk of Recidivism,7,Medium,Risk of Violence,2,Low,0,0
Male,29,Other,0,1,0,0,0,0,0,Risk of Recidivism,1,Low,Risk of Violence,2,Low,0,0
Male,25,Caucasian,0,10,0,0,9,1,1,Risk of Recidivism,10,High,Risk of Violence,9,High,9,1
Male,35,African-American,1,8,0,4,13,1,1,Risk of Recidivism,8,High,Risk of Violence,3,Low,13,1
Male,49,Caucasian,0,1,0,0,0,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,0
Male,34,African-American,0,3,0,0,4,1,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,4,0
Male,29,African-American,0,4,0,0,0,0,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,0,0
Male,29,Caucasian,0,2,0,0,1,1,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,1,0
Male,29,Caucasian,0,2,0,0,1,1,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,1,0
Female,28,Other,0,2,0,0,0,0,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,0,0
Male,51,Caucasian,0,2,0,0,0,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,0
Male,25,Caucasian,0,3,0,0,0,0,0,Risk of Recidivism,3,Low,Risk of Violence,3,Low,0,0
Male,48,Caucasian,0,6,0,0,20,1,0,Risk of Recidivism,6,Medium,Risk of Violence,4,Low,20,0
Male,48,Caucasian,0,6,0,0,20,1,0,Risk of Recidivism,6,Medium,Risk of Violence,4,Low,20,0
Male,48,Caucasian,0,6,0,0,20,1,0,Risk of Recidivism,6,Medium,Risk of Violence,4,Low,20,0
Male,33,Caucasian,0,9,0,0,1,0,0,Risk of Recidivism,9,High,Risk of Violence,10,High,1,0
Male,33,Caucasian,0,9,0,0,1,0,0,Risk of Recidivism,9,High,Risk of Violence,10,High,1,0
Female,63,Hispanic,0,1,0,0,1,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,1,0
Male,30,African-American,0,6,0,1,3,0,0,Risk of Recidivism,6,Medium,Risk of Violence,4,Low,3,0
Male,31,African-American,0,5,0,1,15,1,0,Risk of Recidivism,5,Medium,Risk of Violence,7,Medium,15,0
Male,24,African-American,0,4,0,0,2,1,0,Risk of Recidivism,4,Low,Risk of Violence,4,Low,2,0
Male,24,African-American,0,4,0,0,2,1,0,Risk of Recidivism,4,Low,Risk of Violence,4,Low,2,0
Male,24,African-American,0,4,0,0,2,1,0,Risk of Recidivism,4,Low,Risk of Violence,4,Low,2,0
Male,27,African-American,0,5,0,0,0,0,0,Risk of Recidivism,5,Medium,Risk of Violence,3,Low,0,0
Male,32,Caucasian,0,8,0,0,3,0,0,Risk of Recidivism,8,High,Risk of Violence,2,Low,3,0
Male,30,Hispanic,0,7,0,0,0,0,0,Risk of Recidivism,7,Medium,Risk of Violence,3,Low,0,0
Male,49,African-American,0,1,0,0,4,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,4,0
Male,53,Caucasian,0,5,0,0,8,0,0,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,8,0
Female,31,Hispanic,0,1,0,0,0,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,0
Male,35,African-American,0,3,0,0,5,0,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,5,0
Male,63,African-American,0,7,0,0,10,1,0,Risk of Recidivism,7,Medium,Risk of Violence,5,Medium,10,0
Male,33,African-American,0,1,0,0,2,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,2,0
Male,27,African-American,1,10,1,2,15,1,0,Risk of Recidivism,10,High,Risk of Violence,9,High,15,0
Male,27,African-American,1,10,1,2,15,1,0,Risk of Recidivism,10,High,Risk of Violence,9,High,15,0
Male,27,African-American,1,10,1,2,15,1,0,Risk of Recidivism,10,High,Risk of Violence,9,High,15,0
Male,38,Caucasian,0,2,0,0,4,1,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,4,0
Male,46,Caucasian,3,6,1,0,9,0,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,9,0
Male,46,Caucasian,3,6,1,0,9,0,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,9,0
Male,22,African-American,0,4,0,1,1,1,0,Risk of Recidivism,4,Low,Risk of Violence,6,Medium,1,0
Female,34,Caucasian,0,1,0,0,0,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,0
Male,22,African-American,0,10,1,2,2,1,0,Risk of Recidivism,10,High,Risk of Violence,9,High,2,0
Male,22,African-American,0,10,1,2,2,1,0,Risk of Recidivism,10,High,Risk of Violence,9,High,2,0
Male,22,African-American,0,10,1,2,2,1,0,Risk of Recidivism,10,High,Risk of Violence,9,High,2,0
Male,29,African-American,0,9,0,0,4,1,0,Risk of Recidivism,9,High,Risk of Violence,5,Medium,4,0
Male,29,African-American,0,9,0,0,4,1,0,Risk of Recidivism,9,High,Risk of Violence,5,Medium,4,0
Male,29,African-American,0,9,0,0,4,1,0,Risk of Recidivism,9,High,Risk of Violence,5,Medium,4,0
Male,29,African-American,0,9,0,0,4,1,0,Risk of Recidivism,9,High,Risk of Violence,5,Medium,4,0
Male,62,Hispanic,0,1,0,0,0,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,0
Male,27,African-American,0,6,1,0,6,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,6,0
Male,27,African-American,0,6,1,0,6,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,6,0
Male,27,African-American,0,6,1,0,6,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,6,0
Male,33,Other,0,1,0,0,0,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,0
Female,56,African-American,0,1,0,0,0,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,0
Male,45,Hispanic,0,1,0,0,6,1,1,Risk of Recidivism,1,Low,Risk of Violence,1,Low,6,0
Male,45,Hispanic,0,1,0,0,6,1,1,Risk of Recidivism,1,Low,Risk of Violence,1,Low,6,1
Male,22,Hispanic,0,4,0,0,1,0,0,Risk of Recidivism,4,Low,Risk of Violence,6,Medium,1,0
Female,31,Caucasian,0,3,0,0,2,0,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,2,0
Male,34,African-American,0,4,0,0,0,0,0,Risk of Recidivism,4,Low,Risk of Violence,4,Low,0,0
Male,39,African-American,0,4,0,0,1,0,0,Risk of Recidivism,4,Low,Risk of Violence,2,Low,1,0
Male,24,African-American,0,6,1,0,4,0,0,Risk of Recidivism,6,Medium,Risk of Violence,4,Low,4,0
Male,29,African-American,0,6,0,0,5,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,5,0
Male,29,African-American,0,6,0,0,5,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,5,0
Male,29,African-American,0,6,0,0,5,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,5,0
Male,29,African-American,0,6,0,0,5,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,5,0
Male,29,African-American,0,6,0,0,5,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,5,0
Male,27,Caucasian,0,6,0,1,1,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,1,0
Male,27,Caucasian,0,6,0,1,1,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,1,0
Male,27,Caucasian,0,6,0,1,1,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,1,0
Male,27,Caucasian,0,6,0,1,1,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,1,0
Male,41,African-American,0,2,0,0,0,-1,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,0
Female,24,Hispanic,0,4,0,0,1,0,0,Risk of Recidivism,4,Low,Risk of Violence,2,Low,1,0
Male,40,African-American,0,2,0,0,2,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,2,0
Male,51,African-American,0,1,0,0,1,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,1,0
Male,51,African-American,0,1,0,0,1,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,1,0
Male,22,African-American,0,3,0,0,1,1,0,Risk of Recidivism,3,Low,Risk of Violence,3,Low,1,0
Male,22,African-American,0,3,0,0,1,1,0,Risk of Recidivism,3,Low,Risk of Violence,3,Low,1,0
Male,22,African-American,0,3,0,0,1,1,0,Risk of Recidivism,3,Low,Risk of Violence,3,Low,1,0
Male,22,Caucasian,0,8,0,0,0,0,0,Risk of Recidivism,8,High,Risk of Violence,6,Medium,0,0
Male,22,Caucasian,0,8,0,0,0,0,0,Risk of Recidivism,8,High,Risk of Violence,6,Medium,0,0
Male,22,Caucasian,0,8,0,0,0,0,0,Risk of Recidivism,8,High,Risk of Violence,6,Medium,0,0
Male,22,Caucasian,0,8,0,0,0,0,0,Risk of Recidivism,8,High,Risk of Violence,6,Medium,0,0
Male,22,Caucasian,0,8,0,0,0,0,0,Risk of Recidivism,8,High,Risk of Violence,6,Medium,0,0
Female,26,African-American,0,4,0,0,1,1,1,Risk of Recidivism,4,Low,Risk of Violence,3,Low,1,1
Male,27,Caucasian,0,7,0,0,1,1,1,Risk of Recidivism,7,Medium,Risk of Violence,8,High,1,1
Female,59,African-American,0,1,0,0,2,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,2,0
Male,32,Caucasian,0,1,0,0,3,0,0,Risk of Recidivism,1,Low,Risk of Violence,3,Low,3,0
Male,32,African-American,0,2,0,0,0,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,0
Male,41,African-American,0,2,0,0,1,0,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,1,0
Male,50,Caucasian,0,1,0,0,0,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,0
Male,30,African-American,0,10,0,0,8,1,1,Risk of Recidivism,10,High,Risk of Violence,9,High,8,0
Male,30,African-American,0,10,0,0,8,1,1,Risk of Recidivism,10,High,Risk of Violence,9,High,8,0
Male,30,African-American,0,10,0,0,8,1,1,Risk of Recidivism,10,High,Risk of Violence,9,High,8,1
Male,66,African-American,0,9,0,0,0,0,0,Risk of Recidivism,9,High,Risk of Violence,3,Low,0,0
Male,52,African-American,0,5,0,0,3,0,0,Risk of Recidivism,5,Medium,Risk of Violence,1,Low,3,0
Male,36,African-American,0,6,0,0,0,-1,0,Risk of Recidivism,6,Medium,Risk of Violence,5,Medium,0,0
Male,22,Caucasian,0,6,0,0,3,0,0,Risk of Recidivism,6,Medium,Risk of Violence,5,Medium,3,0
Male,50,Other,0,1,0,0,0,1,0,Risk of Recidivism,1,Low,Risk of Violence,2,Low,0,0
Male,50,Other,0,1,0,0,0,1,0,Risk of Recidivism,1,Low,Risk of Violence,2,Low,0,0
Male,25,African-American,1,10,6,1,14,1,1,Risk of Recidivism,10,High,Risk of Violence,10,High,14,0
Male,25,African-American,1,10,6,1,14,1,1,Risk of Recidivism,10,High,Risk of Violence,10,High,14,0
Male,25,African-American,1,10,6,1,14,1,1,Risk of Recidivism,10,High,Risk of Violence,10,High,14,0
Male,25,African-American,1,10,6,1,14,1,1,Risk of Recidivism,10,High,Risk of Violence,10,High,14,0
Male,25,African-American,1,10,6,1,14,1,1,Risk of Recidivism,10,High,Risk of Violence,10,High,14,1
Female,44,Caucasian,0,1,0,0,0,-1,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,0
Male,20,Other,0,5,0,0,0,1,1,Risk of Recidivism,5,Medium,Risk of Violence,8,High,0,1
Male,22,African-American,1,9,0,0,2,1,0,Risk of Recidivism,9,High,Risk of Violence,10,High,2,0
Male,22,African-American,1,9,0,0,2,1,0,Risk of Recidivism,9,High,Risk of Violence,10,High,2,0
Male,22,African-American,1,9,0,0,2,1,0,Risk of Recidivism,9,High,Risk of Violence,10,High,2,0
Male,23,African-American,0,7,0,1,2,1,0,Risk of Recidivism,7,Medium,Risk of Violence,8,High,2,0
Male,23,African-American,0,7,0,1,2,1,0,Risk of Recidivism,7,Medium,Risk of Violence,8,High,2,0
Male,54,African-American,0,6,0,0,6,0,0,Risk of Recidivism,6,Medium,Risk of Violence,5,Medium,6,0
Male,54,African-American,0,6,0,0,6,0,0,Risk of Recidivism,6,Medium,Risk of Violence,5,Medium,6,0
Male,40,Caucasian,0,5,0,0,4,0,0,Risk of Recidivism,5,Medium,Risk of Violence,4,Low,4,0
Male,40,Caucasian,0,5,0,0,4,0,0,Risk of Recidivism,5,Medium,Risk of Violence,4,Low,4,0
Male,25,African-American,0,7,0,0,10,0,0,Risk of Recidivism,7,Medium,Risk of Violence,6,Medium,10,0
Male,25,African-American,0,7,0,0,10,0,0,Risk of Recidivism,7,Medium,Risk of Violence,6,Medium,10,0
Female,35,African-American,0,2,0,0,1,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,1,0
Male,36,African-American,0,7,0,0,9,1,0,Risk of Recidivism,7,Medium,Risk of Violence,6,Medium,9,0
Male,36,African-American,0,7,0,0,9,1,0,Risk of Recidivism,7,Medium,Risk of Violence,6,Medium,9,0
Male,26,Caucasian,0,8,0,0,7,1,0,Risk of Recidivism,8,High,Risk of Violence,4,Low,7,0
Male,26,Caucasian,0,8,0,0,7,1,0,Risk of Recidivism,8,High,Risk of Violence,4,Low,7,0
Male,26,Caucasian,0,8,0,0,7,1,0,Risk of Recidivism,8,High,Risk of Violence,4,Low,7,0
Male,21,Other,0,6,0,0,1,1,0,Risk of Recidivism,6,Medium,Risk of Violence,6,Medium,1,0
Male,21,Other,0,6,0,0,1,1,0,Risk of Recidivism,6,Medium,Risk of Violence,6,Medium,1,0
